Concatenated,Year,Month,Reg,X5,Code,Trust,Indicator,value,Description
2017-18AUGUSTENG,2017-18,AUGUST,ENG,NA,ENG,NA,A24,5671240,Response times - C1 - Response times - Total (hours)
2017-18AUGUSTENG,2017-18,AUGUST,ENG,NA,ENG,NA,A25,554,Response times - C1 - Response times - Mean (min:sec)
2017-18AUGUSTENG,2017-18,AUGUST,ENG,NA,ENG,NA,A26,912,Response times - C1 - Response times - 90th centile (min:sec)
2017-18AUGUSTENG,2017-18,AUGUST,ENG,NA,ENG,NA,A27,7047501,Response times - C1T - Response times - Total (hours)
2017-18AUGUSTENG,2017-18,AUGUST,ENG,NA,ENG,NA,A28,1017,Response times - C1T - Response times - Mean (min:sec)
2017-18AUGUSTENG,2017-18,AUGUST,ENG,NA,ENG,NA,A29,2099,Response times - C1T - Response times - 90th centile (min:sec)
2017-18AUGUSTENG,2017-18,AUGUST,ENG,NA,ENG,NA,A30,97514559,Response times - C2 - Response times - Total (hours)
2017-18AUGUSTENG,2017-18,AUGUST,ENG,NA,ENG,NA,A31,1435,Response times - C2 - Response times - Mean (hour: min:sec)
2017-18AUGUSTENG,2017-18,AUGUST,ENG,NA,ENG,NA,A32,3189,Response times - C2 - Response times - 90th centile (hour: min:sec)
2017-18AUGUSTENG,2017-18,AUGUST,ENG,NA,ENG,NA,A33,98017154,Response times - C3 - Response times - Total (hours)
2017-18AUGUSTENG,2017-18,AUGUST,ENG,NA,ENG,NA,A34,3041,Response times - C3 - Response times - Mean (hour: min:sec)
2017-18AUGUSTENG,2017-18,AUGUST,ENG,NA,ENG,NA,A35,7085,Response times - C3 - Response times - 90th centile (hour: min:sec)
2017-18AUGUSTENG,2017-18,AUGUST,ENG,NA,ENG,NA,A36,12750030,Response times - C4 - Response times - Total (hours)
2017-18AUGUSTENG,2017-18,AUGUST,ENG,NA,ENG,NA,A37,4885,Response times - C4 - Response times - Mean (hour: min:sec)
2017-18AUGUSTENG,2017-18,AUGUST,ENG,NA,ENG,NA,A38,9169,Response times - C4 - Response times - 90th centile (hour: min:sec)
2017-18SEPTEMBERENG,2017-18,SEPTEMBER,ENG,NA,ENG,NA,A24,12431963,Response times - C1 - Response times - Total (hours)
2017-18SEPTEMBERENG,2017-18,SEPTEMBER,ENG,NA,ENG,NA,A25,487,Response times - C1 - Response times - Mean (min:sec)
2017-18SEPTEMBERENG,2017-18,SEPTEMBER,ENG,NA,ENG,NA,A26,855,Response times - C1 - Response times - 90th centile (min:sec)
2017-18SEPTEMBERENG,2017-18,SEPTEMBER,ENG,NA,ENG,NA,A27,14055960,Response times - C1T - Response times - Total (hours)
2017-18SEPTEMBERENG,2017-18,SEPTEMBER,ENG,NA,ENG,NA,A28,769,Response times - C1T - Response times - Mean (min:sec)
2017-18SEPTEMBERENG,2017-18,SEPTEMBER,ENG,NA,ENG,NA,A29,1530,Response times - C1T - Response times - 90th centile (min:sec)
2017-18SEPTEMBERENG,2017-18,SEPTEMBER,ENG,NA,ENG,NA,A30,181361290,Response times - C2 - Response times - Total (hours)
